"","Type","Complexity","i_star_knowledge","Tsec","Question","Ex","Score"
"241","radar_chart","COMPLEX","Begginer",167,"Q2","E2","0"
"242","radar_chart","COMPLEX","Begginer",95,"Q3","E2","1"
"243","pareto_table","EASY","Begginer",65,"Q3","E2","2"
"244","i_star","COMPLEX","Begginer",309,"Q2","E3","0"
"245","pareto_table","COMPLEX","Begginer",52,"Q1","E4","2"
"246","i_star","EASY","Begginer",164,"Q3","E1","0"
"247","radar_chart","EASY","Begginer",95,"Q2","E1","0"
"248","radar_chart","COMPLEX","Begginer",25,"Q1","E2","2"
"249","pareto_table","COMPLEX","Begginer",60,"Q3","E4","2"
"250","pareto_table","EASY","Begginer",144,"Q1","E2","2"
"251","i_star","COMPLEX","Begginer",221,"Q3","E3","0"
"252","i_star","COMPLEX","Begginer",197,"Q1","E3","1"
"253","pareto_table","COMPLEX","Begginer",60,"Q1","E4","2"
"254","radar_chart","EASY","Begginer",30,"Q1","E1","2"
"255","i_star","EASY","Begginer",240,"Q3","E1","0"
"256","i_star","EASY","Begginer",180,"Q2","E1","2"
"257","radar_chart","COMPLEX","Begginer",60,"Q2","E2","2"
"258","radar_chart","COMPLEX","Begginer",120,"Q3","E2","2"
"259","pareto_table","EASY","Begginer",60,"Q1","E2","2"
"260","radar_chart","EASY","Begginer",36,"Q3","E1","2"
"261","pareto_table","EASY","Begginer",60,"Q3","E2","2"
"262","i_star","COMPLEX","Begginer",180,"Q3","E3","1"
"263","pareto_table","EASY","Begginer",60,"Q2","E2","2"
"264","radar_chart","COMPLEX","Begginer",30,"Q1","E2","2"
"265","i_star","COMPLEX","Begginer",240,"Q2","E3","1"
"266","i_star","COMPLEX","Begginer",240,"Q1","E3","1"
"267","i_star","EASY","Begginer",60,"Q1","E1","2"
"268","pareto_table","COMPLEX","Begginer",60,"Q2","E4","2"
"269","pareto_table","COMPLEX","Begginer",120,"Q3","E4","2"
"270","radar_chart","EASY","Begginer",140,"Q2","E1","0"
"271","radar_chart","EASY","Begginer",70,"Q2","E1","0"
"272","i_star","COMPLEX","Begginer",195,"Q3","E3","2"
"273","radar_chart","EASY","Begginer",35,"Q3","E1","2"
"274","radar_chart","COMPLEX","Begginer",134,"Q2","E2","1"
"275","i_star","EASY","Begginer",104,"Q2","E1","2"
"276","i_star","EASY","Begginer",409,"Q3","E1","2"
"277","i_star","EASY","Begginer",81,"Q1","E1","2"
"278","i_star","COMPLEX","Begginer",135,"Q2","E3","0"
"279","i_star","COMPLEX","Begginer",77,"Q1","E3","2"
"280","pareto_table","EASY","Begginer",48,"Q2","E2","2"
"281","radar_chart","COMPLEX","Begginer",72,"Q3","E2","0"
"282","pareto_table","EASY","Begginer",95,"Q1","E2","2"
"283","radar_chart","COMPLEX","Begginer",60,"Q1","E2","0"
"284","pareto_table","COMPLEX","Begginer",62,"Q2","E4","0"
"285","pareto_table","EASY","Begginer",50,"Q3","E2","2"
"286","pareto_table","COMPLEX","Begginer",123,"Q3","E4","2"
"287","radar_chart","EASY","Begginer",28,"Q1","E1","2"
"288","pareto_table","COMPLEX","Begginer",89,"Q1","E4","2"
"289","radar_chart","EASY","Begginer",42,"Q3","E1","2"
"290","i_star","COMPLEX","Begginer",70,"Q1","E3","0"
"291","i_star","EASY","Begginer",80,"Q1","E1","0"
"292","i_star","EASY","Begginer",119,"Q3","E1","0"
"293","pareto_table","COMPLEX","Begginer",105,"Q2","E4","0"
"294","pareto_table","EASY","Begginer",70,"Q2","E2","1"
"295","radar_chart","COMPLEX","Begginer",67,"Q2","E2","1"
"296","i_star","EASY","Begginer",94,"Q2","E1","2"
"297","pareto_table","EASY","Begginer",46,"Q3","E2","2"
"298","radar_chart","COMPLEX","Begginer",49,"Q1","E2","2"
"299","i_star","COMPLEX","Begginer",95,"Q2","E3","0"
"300","radar_chart","COMPLEX","Begginer",87,"Q3","E2","1"
"301","pareto_table","COMPLEX","Begginer",84,"Q3","E4","1"
"302","radar_chart","EASY","Begginer",46,"Q2","E1","2"
"303","pareto_table","EASY","Begginer",161,"Q1","E2","0"
"304","radar_chart","EASY","Begginer",18,"Q1","E1","2"
"305","i_star","COMPLEX","Begginer",170,"Q3","E3","0"
"306","pareto_table","COMPLEX","Begginer",135,"Q1","E4","0"
"307","radar_chart","EASY","Begginer",135,"Q2","E1","1"
"308","pareto_table","EASY","Begginer",63,"Q2","E2","2"
"309","i_star","COMPLEX","Begginer",297,"Q2","E3","0"
"310","pareto_table","COMPLEX","Begginer",120,"Q1","E4","2"
"311","radar_chart","EASY","Begginer",115,"Q3","E1","1"
"312","radar_chart","COMPLEX","Begginer",285,"Q3","E2","1"
